prospect_id,business,slug,qr_target_url,live_site,qa_ready,mail_ready
J238-001,Academy Chiropractic Center,academy-chiropractic-center,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/academy-chiropractic-center/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-001,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/academy-chiropractic-center/,ready,hold
J238-002,Acupuncture Medical Practice,acupuncture-medical-practice,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/acupuncture-medical-practice/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-002,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/acupuncture-medical-practice/,ready,hold
J238-003,"Advanced Commercial Interior, Inc.",advanced-commercial-interior-inc,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/advanced-commercial-interior-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-003,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/advanced-commercial-interior-inc/,ready,hold
J238-004,Agnes Edmunds Bridal & Formals,agnes-edmunds-bridal-formals,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/agnes-edmunds-bridal-formals/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-004,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/agnes-edmunds-bridal-formals/,ready,hold
J238-005,All Phase Electric Co.,all-phase-electric-co,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/all-phase-electric-co/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-005,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/all-phase-electric-co/,ready,hold
J238-006,Al Tacos Locos,al-tacos-locos,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-006,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/al-tacos-locos/,ready,hold
J238-007,Always Dental Care,always-dental-care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-007,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/always-dental-care/,ready,hold
J238-008,"A.M. Electric, Inc.",a-m-electric-inc,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-m-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-008,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-m-electric-inc/,ready,hold
J238-009,Andorra Family Dentistry,andorra-family-dentistry,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-009,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/andorra-family-dentistry/,ready,hold
J238-010,Anthony Gueriera Jr. Insurance Agency LLC,anthony-gueriera-insurance,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anthony-gueriera-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-010,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anthony-gueriera-insurance/,ready,hold
J238-011,Anton's Plumbing & Heating Inc.,anton-s-plumbing-heating-inc,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anton-s-plumbing-heating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-011,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anton-s-plumbing-heating-inc/,ready,hold
