Platform,Campaign,Ad_Set,Name,Number,Email,Business,Website_other,prospect_id,qr_target_url,qa_ready,mail_ready,address,notes
Direct Mail,jesse-238,Medical & Healthcare,,,,Academy Chiropractic Center,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/academy-chiropractic-center/,J238-001,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/academy-chiropractic-center/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-001,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Medical & Healthcare,,,,Acupuncture Medical Practice,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/acupuncture-medical-practice/,J238-002,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/acupuncture-medical-practice/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-002,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,"Advanced Commercial Interior, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/advanced-commercial-interior-inc/,J238-003,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/advanced-commercial-interior-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-003,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Agnes Edmunds Bridal & Formals,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/agnes-edmunds-bridal-formals/,J238-004,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/agnes-edmunds-bridal-formals/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-004,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Electrical,,,,All Phase Electric Co.,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/all-phase-electric-co/,J238-005,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/all-phase-electric-co/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-005,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Al Tacos Locos,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/al-tacos-locos/,J238-006,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-006,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Always Dental Care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/always-dental-care/,J238-007,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-007,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Electrical,,,,"A.M. Electric, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-m-electric-inc/,J238-008,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-m-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-008,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Andorra Family Dentistry,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/andorra-family-dentistry/,J238-009,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-009,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Anthony Gueriera Jr. Insurance Agency LLC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anthony-gueriera-insurance/,J238-010,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anthony-gueriera-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-010,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Plumbing / sewer,,,,Anton's Plumbing & Heating Inc.,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anton-s-plumbing-heating-inc/,J238-011,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anton-s-plumbing-heating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-011,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Painting / drywall,,,,"A POSITIVE RESPONSE PLUMBING, LLC.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-positive-response-plumbing-llc/,J238-012,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-positive-response-plumbing-llc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-012,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,APR Supply Company,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/apr-supply-company/,J238-013,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apr-supply-company/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-013,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,HVAC,,,,APT Heating and Cooling,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/apt-heating-and-cooling/,J238-014,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apt-heating-and-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-014,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Art City Vets & Urgent Care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/art-city-vets/,J238-015,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/art-city-vets/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-015,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Artisan Wine and Cheese Cellars,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/artisan-wine-and-cheese-cellars/,J238-016,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/artisan-wine-and-cheese-cellars/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-016,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Auger Manufacturing Specialists,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/auger-manufacturing/,J238-017,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/auger-manufacturing/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-017,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Baldwin's Book Barn,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/baldwins-book-barn/,J238-018,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/baldwins-book-barn/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-018,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Bàn Bàn Asian Bistro,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ban-ban-asian-bistro/,J238-019,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ban-ban-asian-bistro/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-019,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Barnes Financial Group,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/barnes-financial-group/,J238-020,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/barnes-financial-group/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-020,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Botanical Garden,,,,Bartram's Garden,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bartram-garden/,J238-021,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bartram-garden/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-021,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,BeBalanced Royersford,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/be-balanced-hormone/,J238-022,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/be-balanced-hormone/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-022,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Benjamin Lovell Shoes,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/benjamin-lovell-shoes/,J238-023,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/benjamin-lovell-shoes/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-023,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,BG Electric Service LLC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bg-electric/,J238-024,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bg-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-024,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,"Big Head Transport, LLC",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/big-head-transport/,J238-025,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/big-head-transport/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-025,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
