prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
PHL001,Andorra Family Dentistry,"Philadelphia, PA",Health,andorra-family-dentistry,https://phl-2026-w33.netlify.app/sites/andorra-family-dentistry/,https://phl-2026-w33.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL001,https://www.andorradental.com/,PASS,ran,ready,hold,10,509,12
PHL002,Benjamin Lovell Shoes,"Philadelphia, PA",Retail,benjamin-lovell-shoes,https://phl-2026-w33.netlify.app/sites/benjamin-lovell-shoes/,https://phl-2026-w33.netlify.app/sites/benjamin-lovell-shoes/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL002,https://www.blshoes.com/,PASS,ran,ready,hold,10,483,12
PHL003,Davidson Fabricating,"Philadelphia, PA",Industrial,davidson-fabricating,https://phl-2026-w33.netlify.app/sites/davidson-fabricating/,https://phl-2026-w33.netlify.app/sites/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL003,https://davidsonfab.com/,PASS,ran,ready,hold,10,533,12
PHL004,Dream Team Home Services,"Philadelphia, PA",Home Services,dream-team-hvac,https://phl-2026-w33.netlify.app/sites/dream-team-hvac/,https://phl-2026-w33.netlify.app/sites/dream-team-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL004,https://dreamteampa.com/,PASS,ran,hold,hold,10,497,12
PHL005,Dutton Road Veterinary Clinic,"Philadelphia, PA",Health,dutton-road-veterinary-clinic,https://phl-2026-w33.netlify.app/sites/dutton-road-veterinary-clinic/,https://phl-2026-w33.netlify.app/sites/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL005,http://duttonroadvetclinic.com/,PASS,ran,hold,hold,10,480,12
PHL006,Eastern Dragon,"Philadelphia, PA",Restaurant,eastern-dragon,https://phl-2026-w33.netlify.app/sites/eastern-dragon/,https://phl-2026-w33.netlify.app/sites/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL006,http://easterndragonfood.com/,PASS,ran,ready,hold,10,599,12
PHL007,Electric Direct,"Philadelphia, PA",Home Services,electric-direct,https://phl-2026-w33.netlify.app/sites/electric-direct/,https://phl-2026-w33.netlify.app/sites/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL007,https://www.electric-direct.net/,PASS,ran,hold,hold,10,470,12
PHL008,Elverson Supply,"Philadelphia, PA",Retail,elverson-supply,https://phl-2026-w33.netlify.app/sites/elverson-supply/,https://phl-2026-w33.netlify.app/sites/elverson-supply/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL008,https://elversonsupply.net/,PASS,ran,hold,hold,10,486,12
PHL009,Floral and Hardy of Skippack,"Philadelphia, PA",Retail,floral-and-hardy,https://phl-2026-w33.netlify.app/sites/floral-and-hardy/,https://phl-2026-w33.netlify.app/sites/floral-and-hardy/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL009,https://floralandhardyofskippack.com/,PASS,ran,hold,hold,10,579,12
PHL010,GO2 Tech,"Philadelphia, PA",Professional Services,go2tech,https://phl-2026-w33.netlify.app/sites/go2tech/,https://phl-2026-w33.netlify.app/sites/go2tech/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL010,https://www.go2tech.com/,PASS,ran,hold,hold,10,502,12
PHL011,Home Furnishing Consignment,"Philadelphia, PA",Retail,home-furnishings-consignment,https://phl-2026-w33.netlify.app/sites/home-furnishings-consignment/,https://phl-2026-w33.netlify.app/sites/home-furnishings-consignment/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL011,http://www.hfconsignment.com/,PASS,ran,ready,hold,10,552,12
PHL012,Johnny's Pizza & Pasta,"Philadelphia, PA",Restaurant,johnnys-pizza,https://phl-2026-w33.netlify.app/sites/johnnys-pizza/,https://phl-2026-w33.netlify.app/sites/johnnys-pizza/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL012,http://johnnysitaliano.com/,PASS,ran,ready,hold,10,540,12
PHL013,MacLaren Kitchen and Bath,"Philadelphia, PA",Home Services,maclaren-kitchen-and-bath,https://phl-2026-w33.netlify.app/sites/maclaren-kitchen-and-bath/,https://phl-2026-w33.netlify.app/sites/maclaren-kitchen-and-bath/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL013,https://maclarenfab.com/,PASS,ran,hold,hold,10,522,12
PHL014,Metalmorphose Ironworks,"Philadelphia, PA",Industrial,metalmorphose-iron-studio,https://phl-2026-w33.netlify.app/sites/metalmorphose-iron-studio/,https://phl-2026-w33.netlify.app/sites/metalmorphose-iron-studio/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL014,https://metalmorphoseironworks.com/,PASS,ran,hold,hold,10,519,12
PHL015,The New Pennsburg Diner,"Philadelphia, PA",Restaurant,new-pennsburg-diner,https://phl-2026-w33.netlify.app/sites/new-pennsburg-diner/,https://phl-2026-w33.netlify.app/sites/new-pennsburg-diner/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL015,https://pennsburgdiner.com/,PASS,ran,hold,hold,10,450,12
PHL016,Oaks Italian Deli And Pizzeria,"Philadelphia, PA",Restaurant,oaks-italian-deli,https://phl-2026-w33.netlify.app/sites/oaks-italian-deli/,https://phl-2026-w33.netlify.app/sites/oaks-italian-deli/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL016,http://oaksitaliandeli.com/,PASS,ran,ready,hold,10,566,12
PHL017,Frederick W. Oster Fine Violins,"Philadelphia, PA",Retail,oster-fine-violins,https://phl-2026-w33.netlify.app/sites/oster-fine-violins/,https://phl-2026-w33.netlify.app/sites/oster-fine-violins/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL017,https://www.osterviolins.com/,PASS,ran,hold,hold,10,513,12
PHL018,Peking Gourmet,"Philadelphia, PA",Restaurant,peking-gourmet,https://phl-2026-w33.netlify.app/sites/peking-gourmet/,https://phl-2026-w33.netlify.app/sites/peking-gourmet/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL018,http://pekinggourmetpottstown.com/,PASS,ran,ready,hold,10,581,12
PHL019,Philadelphia Garage,"Philadelphia, PA",Home Services,philadelphia-garage,https://phl-2026-w33.netlify.app/sites/philadelphia-garage/,https://phl-2026-w33.netlify.app/sites/philadelphia-garage/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL019,https://www.philadelphiagarage.com/,PASS,ran,hold,hold,10,472,12
PHL020,Pipe Xpress,"Philadelphia, PA",Industrial,pipe-xpress,https://phl-2026-w33.netlify.app/sites/pipe-xpress/,https://phl-2026-w33.netlify.app/sites/pipe-xpress/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL020,https://pipexpressinc.com/,PASS,ran,hold,hold,10,476,12
PHL021,Pro Nails,"Philadelphia, PA",Health,pro-nails,https://phl-2026-w33.netlify.app/sites/pro-nails/,https://phl-2026-w33.netlify.app/sites/pro-nails/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL021,https://gopronails.com/,PASS,ran,hold,hold,10,479,12
PHL022,Salter's Fireplace,"Philadelphia, PA",Home Services,salters-fireplace,https://phl-2026-w33.netlify.app/sites/salters-fireplace/,https://phl-2026-w33.netlify.app/sites/salters-fireplace/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL022,https://saltersfireplace.com/,PASS,ran,hold,hold,10,478,12
PHL023,Southampton Hot Tub,"Philadelphia, PA",Retail,southampton-hot-tub,https://phl-2026-w33.netlify.app/sites/southampton-hot-tub/,https://phl-2026-w33.netlify.app/sites/southampton-hot-tub/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL023,https://southamptonhottub.com/,PASS,ran,hold,hold,10,489,12
PHL024,THR Insurance,"Philadelphia, PA",Professional Services,thr-insurance,https://phl-2026-w33.netlify.app/sites/thr-insurance/,https://phl-2026-w33.netlify.app/sites/thr-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL024,http://www.thrinsurance.com/,PASS,ran,hold,hold,10,495,12
PHL025,WJA Landscaping,"Philadelphia, PA",Home Services,wja-landscaping,https://phl-2026-w33.netlify.app/sites/wja-landscaping/,https://phl-2026-w33.netlify.app/sites/wja-landscaping/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33&utm_content=PHL025,https://www.wjalandscaping.com/,PASS,ran,hold,hold,10,460,12
