prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL001,Balance Studios,,215-988-9347,"Philadelphia, PA",spa-wellness,https://phl-2026-w33b.netlify.app/sites/balance-studios/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL001,hold,hold,,,,,
PHL002,"Boyle Energy - Heating, Air Conditioning, Oil & Propane","40 W Manoa Rd, Havertown, PA, 19083",610-446-2444,"Philadelphia, PA",home-services,https://phl-2026-w33b.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-and-propane/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL002,ready,hold,,,,,
PHL003,Captain Car Wash,,610-539-9390,"Philadelphia, PA",auto,https://phl-2026-w33b.netlify.app/sites/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL003,hold,hold,,,,,
PHL004,Chestnut Hill Animal Hospital,"903 Bethlehem Pike · Erdenheim, PA 19038",215-836-2950,"Philadelphia, PA",medical,https://phl-2026-w33b.netlify.app/sites/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL004,ready,hold,,,,,
PHL005,Custom IT Solutions,"292 Main Street, Suite, Lower Salford Township, PA",973-726-0202,"Philadelphia, PA",legal,https://phl-2026-w33b.netlify.app/sites/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL005,ready,hold,,,,,
PHL006,Electric Direct,,610.853.8288,"Philadelphia, PA",home-services,https://phl-2026-w33b.netlify.app/sites/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL006,hold,hold,,,,,
PHL007,Ember & Ale,"99 Market St Suite 4, Collegeville, PA, 19426",Call (484) 902-8053,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/ember-and-ale/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL007,ready,hold,,,,,
PHL008,Golden Sea,"1301 Skippack Pike Blue Bell, PA 19422",(610)-292-8881,"Philadelphia, PA",food,https://phl-2026-w33b.netlify.app/sites/golden-sea/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL008,ready,hold,,,,,
PHL009,Heart & Soul Tattoo,"205 MAIN STREET, East Greenville, PA",,"Philadelphia, PA",spa-wellness,https://phl-2026-w33b.netlify.app/sites/heart-and-soul-tattoo/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL009,ready,hold,,,,,
PHL010,Home Furnishings Consignment,"139 East Swedesford Road, Wayne, PA 19087",610.964.1903,"Philadelphia, PA",retail,https://phl-2026-w33b.netlify.app/sites/home-furnishings-consignment/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL010,ready,hold,,,,,
