prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL001,Advance Exterior Solutions,"1433 Kennington Ln, Macungie, PA 18062",(484) 601-5137,"Philadelphia, PA",roofing,https://phl-2026-w35.netlify.app/sites/advance-exterior/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL001,ready,hold,,,,,
PHL002,Al Tacos Locos,"408 York Rd, Jenkintown, PA, 19046",(215) 883-6446,"Philadelphia, PA",restaurant,https://phl-2026-w35.netlify.app/sites/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL002,ready,hold,,,,,
PHL003,Bala Financial Group,"300 Bridge Street, Phoenixville, PA 19460",856-273-0800,"Philadelphia, PA",financial,https://phl-2026-w35.netlify.app/sites/bala-financial/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL003,ready,hold,,,,,
PHL004,Balance Studios,"1314 Frankford Ave, Philadelphia, PA 19125",215-988-9347,"Philadelphia, PA",fitness-centre,https://phl-2026-w35.netlify.app/sites/balance-studios/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL004,ready,hold,,,,,
PHL005,Boyle Energy,"40 W Manoa Rd, Havertown, PA, 19083",610-446-2444,"Philadelphia, PA",hvac,https://phl-2026-w35.netlify.app/sites/boyle-energy/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL005,ready,hold,,,,,
PHL006,Brandywine Auto Parts,"8 East 9th Street, Chester, PA 19013",302.429.0643,"Philadelphia, PA",car-parts,https://phl-2026-w35.netlify.app/sites/brandywine-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL006,ready,hold,,,,,
PHL007,Caise Benefits,"3561 Concord Road, Aston, PA 19014",610-494-8270,"Philadelphia, PA",insurance,https://phl-2026-w35.netlify.app/sites/caise-benefits/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL007,ready,hold,,,,,
PHL008,Captain Car Wash,"3008 W Germantown Pike, Norristown, PA 19403",610-539-9390,"Philadelphia, PA",car-wash,https://phl-2026-w35.netlify.app/sites/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL008,ready,hold,,,,,
PHL009,Custom IT Solutions,"292 Main Street, Suite 282, Harleysville, PA 19438",973-726-0202,"Philadelphia, PA",it,https://phl-2026-w35.netlify.app/sites/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL009,ready,hold,,,,,
PHL010,Dirt Work Solutions,"3755 Main Street, Slatington, PA 18080",484-239-6961,"Philadelphia, PA",excavation,https://phl-2026-w35.netlify.app/sites/dirt-work-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL010,ready,hold,,,,,
PHL011,Ember & Ale,"99 Market St Suite 4, Collegeville, PA, 19426",(484) 902-8053,"Philadelphia, PA",restaurant,https://phl-2026-w35.netlify.app/sites/ember-and-ale/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL011,ready,hold,,,,,
PHL012,Euphoria Nail Bar,"4430 Main Street, Philadelphia, PA 19127",(215) 483-4341,"Philadelphia, PA",beauty,https://phl-2026-w35.netlify.app/sites/euphoria-nail-bar/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL012,ready,hold,,,,,
PHL013,Fusion Gyms,"2801 Grant Ave, Philadelphia, PA 19114",(215) 821-3451,"Philadelphia, PA",fitness-centre,https://phl-2026-w35.netlify.app/sites/fusion-gyms/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL013,ready,hold,,,,,
PHL014,Golden Sea,"1301 Skippack Pike, Blue Bell, PA 19422",(610) 292-8881,"Philadelphia, PA",restaurant,https://phl-2026-w35.netlify.app/sites/golden-sea/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL014,ready,hold,,,,,
PHL015,IVC Wealth Advisors,"163 East Main Street, PO Box 539, Silverdale, PA, 18962",215-392-6631,"Philadelphia, PA",financial,https://phl-2026-w35.netlify.app/sites/ivc-wealth/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL015,ready,hold,,,,,
PHL016,Ming's Restaurant,"121 South York Road, Hatboro, PA, 19040",(215) 674-8804,"Philadelphia, PA",restaurant,https://phl-2026-w35.netlify.app/sites/mings-chinese/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL016,ready,hold,,,,,
PHL017,Ooka Hibachi and Sushi,"1109 Easton Road, Willow Grove, PA 19090",(215) 659-7688,"Philadelphia, PA",restaurant,https://phl-2026-w35.netlify.app/sites/ooka-hibachi/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL017,ready,hold,,,,,
PHL018,"O'Donnell, Weiss & Mattei, P.C.","1503 Sunset Drive, Suite 201, Pottstown, PA, 19464",610-323-2800,"Philadelphia, PA",lawyer,https://phl-2026-w35.netlify.app/sites/owm-law/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w35&utm_content=PHL018,ready,hold,,,,,
