prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
RN10001,Advanced Air Services LLC,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02.netlify.app/sites/advanced-air-services/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10001,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10002,B & M Construction & Hvac LLC,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02.netlify.app/sites/b-and-m-construction-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10002,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10003,Bradco Heating and Cooling,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02.netlify.app/sites/bradco-heating-and-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10003,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10004,"Casey Williams, DMD",,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02.netlify.app/sites/casey-williams-dmd/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10004,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10005,Colonial Animal Hospital,,,Philadelphia metro / South-Central PA,veterinary,https://radar-next10-2026-09-02.netlify.app/sites/colonial-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10005,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10006,Germantown Dental Group,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02.netlify.app/sites/germantown-dental-group/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10006,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10007,JT1 Electric Inc.,,,Philadelphia metro / South-Central PA,electrician,https://radar-next10-2026-09-02.netlify.app/sites/jt1-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10007,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10008,Lee's Hoagie House,,,Philadelphia metro / South-Central PA,restaurant,https://radar-next10-2026-09-02.netlify.app/sites/lees-hoagie-house/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10008,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10009,Pearl Dental,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02.netlify.app/sites/pearl-dental/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10009,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10010,Udis & Conn Orthodontics,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02.netlify.app/sites/udis-conn-orthodontics/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10010,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
