prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RN10B001,Always Dental Care,Philadelphia metro / South-Central PA,dentist,always-dental-care,https://radar-next10-2026-09-02b.netlify.app/sites/always-dental-care/,https://radar-next10-2026-09-02b.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B001,https://www.alwaysdentalcare.com/,FAIL,skipped,hold,hold,11,369,19
RN10B002,Andorra Family Dentistry,Philadelphia metro / South-Central PA,dentist,andorra-family-dentistry,https://radar-next10-2026-09-02b.netlify.app/sites/andorra-family-dentistry/,https://radar-next10-2026-09-02b.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B002,https://www.andorradental.com/,FAIL,skipped,hold,hold,11,376,19
RN10B003,Colmar Dentistry For Kids,Philadelphia metro / South-Central PA,dentist,colmar-dentistry-for-kids,https://radar-next10-2026-09-02b.netlify.app/sites/colmar-dentistry-for-kids/,https://radar-next10-2026-09-02b.netlify.app/sites/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B003,https://www.colmarkids.com/,FAIL,skipped,hold,hold,11,382,19
RN10B004,"Davidson Fabricating, Inc.",Philadelphia metro / South-Central PA,metal-construction,davidson-fabricating,https://radar-next10-2026-09-02b.netlify.app/sites/davidson-fabricating/,https://radar-next10-2026-09-02b.netlify.app/sites/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B004,https://davidsonfab.com/,FAIL,skipped,hold,hold,11,401,19
RN10B005,Dream Team,Philadelphia metro / South-Central PA,hvac,dream-team,https://radar-next10-2026-09-02b.netlify.app/sites/dream-team/,https://radar-next10-2026-09-02b.netlify.app/sites/dream-team/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B005,https://dreamteampa.com/,FAIL,skipped,hold,hold,11,372,19
RN10B006,Dutton Road Veterinary Clinic,Philadelphia metro / South-Central PA,veterinary,dutton-road-veterinary-clinic,https://radar-next10-2026-09-02b.netlify.app/sites/dutton-road-veterinary-clinic/,https://radar-next10-2026-09-02b.netlify.app/sites/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B006,http://duttonroadvetclinic.com/,FAIL,skipped,hold,hold,11,403,19
RN10B007,Glen Eagle Pediatric Dentistry,Philadelphia metro / South-Central PA,dentist,glen-eagle-pediatric-dentistry,https://radar-next10-2026-09-02b.netlify.app/sites/glen-eagle-pediatric-dentistry/,https://radar-next10-2026-09-02b.netlify.app/sites/glen-eagle-pediatric-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B007,https://gleneaglepediatricdentistry.com/,FAIL,skipped,hold,hold,11,387,19
RN10B008,Pennsylvania Dental Group,Philadelphia metro / South-Central PA,dentist,pennsylvania-dental-group,https://radar-next10-2026-09-02b.netlify.app/sites/pennsylvania-dental-group/,https://radar-next10-2026-09-02b.netlify.app/sites/pennsylvania-dental-group/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B008,https://www.padentalgroup.com/,FAIL,skipped,hold,hold,11,362,19
RN10B009,Sprinkles Icecream,Philadelphia metro / South-Central PA,ice-cream,sprinkles-icecream,https://radar-next10-2026-09-02b.netlify.app/sites/sprinkles-icecream/,https://radar-next10-2026-09-02b.netlify.app/sites/sprinkles-icecream/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B009,http://www.sprinklesicecreamelkinspark.com/,FAIL,skipped,hold,hold,11,431,19
RN10B010,Harry M. Von Sas & Son,Philadelphia metro / South-Central PA,hvac,von-sas-and-son,https://radar-next10-2026-09-02b.netlify.app/sites/von-sas-and-son/,https://radar-next10-2026-09-02b.netlify.app/sites/von-sas-and-son/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B010,http://vonsaselectric.com/,FAIL,skipped,hold,hold,11,413,19
