prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
RN10B001,Always Dental Care,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02b.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B001,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B002,Andorra Family Dentistry,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02b.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B002,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B003,Colmar Dentistry For Kids,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02b.netlify.app/sites/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B003,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B004,"Davidson Fabricating, Inc.",,,Philadelphia metro / South-Central PA,metal-construction,https://radar-next10-2026-09-02b.netlify.app/sites/davidson-fabricating/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B004,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B005,Dream Team,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02b.netlify.app/sites/dream-team/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B005,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B006,Dutton Road Veterinary Clinic,,,Philadelphia metro / South-Central PA,veterinary,https://radar-next10-2026-09-02b.netlify.app/sites/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B006,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B007,Glen Eagle Pediatric Dentistry,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02b.netlify.app/sites/glen-eagle-pediatric-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B007,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B008,Pennsylvania Dental Group,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02b.netlify.app/sites/pennsylvania-dental-group/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B008,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B009,Sprinkles Icecream,,,Philadelphia metro / South-Central PA,ice-cream,https://radar-next10-2026-09-02b.netlify.app/sites/sprinkles-icecream/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B009,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
RN10B010,Harry M. Von Sas & Son,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02b.netlify.app/sites/von-sas-and-son/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02b&utm_content=RN10B010,hold,hold,,,,,spec images 19 outside 12-13; 12 missing asset file(s); visual QA skipped (Playwright not installed); not a full QA pass; Missing asset file: assets/image-1.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-12.webp; Missing asset file: assets/image-2.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-3.webp; Missing asset file: assets/image-4.webp; Missing asset file: assets/image-5.webp; Missing asset file: assets/image-6.webp; Missing asset file: assets/image-7.webp; Missing asset file: assets/image-8.webp; Missing asset file: assets/image-9.webp; Missing asset file: assets/image-10.webp; Missing asset file: assets/image-11.webp
