prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
RN10C001,F M Berkheimer Inc,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02c.netlify.app/sites/f-m-berkheimer-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C001,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C002,The Juice Merchant,,,Philadelphia metro / South-Central PA,restaurant,https://radar-next10-2026-09-02c.netlify.app/sites/the-juice-merchant/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C002,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C003,Golden Sea,,,Philadelphia metro / South-Central PA,restaurant,https://radar-next10-2026-09-02c.netlify.app/sites/golden-sea/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C003,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02; no public phone on file
RN10C004,Speck's Broasted Chicken,,,Philadelphia metro / South-Central PA,restaurant,https://radar-next10-2026-09-02c.netlify.app/sites/specks-broasted-chicken/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C004,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C005,Weathers Motors & Auto Sales,,,Philadelphia metro / South-Central PA,car,https://radar-next10-2026-09-02c.netlify.app/sites/weathers-motors-and-auto-sales/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C005,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C006,Nolt's Auto Parts #2,,,Philadelphia metro / South-Central PA,car-parts,https://radar-next10-2026-09-02c.netlify.app/sites/nolts-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C006,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02; no public phone on file
RN10C007,Union Chill Mat Company,,,Philadelphia metro / South-Central PA,hvac,https://radar-next10-2026-09-02c.netlify.app/sites/union-chill-mat-company/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C007,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C008,Sangillo Tire Center,,,Philadelphia metro / South-Central PA,tyres,https://radar-next10-2026-09-02c.netlify.app/sites/sangillo-tire-center/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C008,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C009,Smile Culture Dental,,,Philadelphia metro / South-Central PA,dentist,https://radar-next10-2026-09-02c.netlify.app/sites/smile-culture-dental/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C009,hold,hold,,,,,selection only; site not yet built; live-checked 200 on 2026-09-02
RN10C010,Advance Exterior Solutions,,,Philadelphia metro / South-Central PA,roofer,https://radar-next10-2026-09-02c.netlify.app/sites/advance-exterior-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02c&utm_content=RN10C010,hold,hold,,,,,selection only; site not yet built; live-checked 202 (reproducible, not an error) on 2026-09-02
