prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RADAR-NEXT20-011,Aqua Docs,Service area,swimming-pool,aqua-docs,,,https://aqua-docs.com/ephrata/,PASS,ran,ready,hold,10,421,13
RADAR-NEXT20-012,Bala Financial Group,valuedclient@balafinancial.com,financial,bala-financial-group,,,https://www.balafinancial.com/,PASS,ran,ready,hold,10,426,13
RADAR-NEXT20-017,Bath & Kitchen Showroom of Hajoca-York,Service area,hardware,bath-and-kitchen-showroom-of-hajoca-york,,,https://shop.hajocayork.com/,PASS,ran,ready,hold,10,432,13
RADAR-NEXT20-013,Bob Swayne Real Estate,Service area,estate-agent,bob-swayne-real-estate,,,https://www.brightmlshomes.com/robert-swayne-jr,PASS,ran,ready,hold,10,441,13
RADAR-NEXT20-014,Eckroth Equipment Company,Service area,trade,eckroth-equipment-company,,,https://www.eckrothequipment.com/,PASS,ran,ready,hold,10,415,13
RADAR-NEXT20-019,Frees Insurance,Phoenixville,insurance,frees-insurance,,,https://freesinsurance.com/,PASS,ran,ready,hold,10,444,13
RADAR-NEXT20-003,Kevin T Coyne Attorney At Law,Service area,lawyer,kevin-t-coyne-attorney-at-law,,,https://kevintcoyneattorneyatlaw.com/,PASS,ran,ready,hold,10,467,12
RADAR-NEXT20-015,Kitay Law Offices,Service area,lawyer,kitay-law-offices,,,https://kitaylegal.com/,PASS,ran,ready,hold,10,425,13
RADAR-NEXT20-006,Lancaster General Health Express,Service area,clinic,lancaster-general-health-express,,,https://www.lghealthexpress.org/,PASS,ran,ready,hold,10,447,12
RADAR-NEXT20-001,Leiss Orthodontics,Elverson,dentist,leiss-orthodontics,,,https://leisshendrix.com/location/elverson-orthodontics/,PASS,ran,ready,hold,10,433,12
RADAR-NEXT20-005,LG Health Physicians Family Medicine Abbeyville,Service area,clinic,lg-health-physicians-family-medicine-abbeyville,,,https://www.lancastergeneralhealth.org/LGH/Locations/LG-Health-Physicians/Family-Medicine/Abbeyville-Family-Medicine.aspx,PASS,ran,ready,hold,10,467,12
RADAR-NEXT20-016,"Money Management Advisory, Inc.",Feasterville,financial,money-management-advisory-inc,,,https://www.mmacentral.com/,PASS,ran,ready,hold,10,434,13
RADAR-NEXT20-007,MRI Group,Service area,clinic,mri-group,,,https://www.mrigroup.com/Our-Locations.aspx,PASS,ran,ready,hold,10,427,12
RADAR-NEXT20-009,Neiderer's Pool Sales & Service,Service area,swimming-pool,neiderer-s-pool-sales-and-service,,,https://www.neidererspoolsales.com/,PASS,ran,ready,hold,10,458,12
RADAR-NEXT20-020,Pacifico Marple Lincoln,Service area,car,pacifico-marple-lincoln,,,https://www.pacificomarplelincoln.com/,PASS,ran,ready,hold,10,425,13
RADAR-NEXT20-002,Peachtree City Foamcraft,Service area,trade,peachtree-city-foamcraft,,,https://foamcraft.com/,PASS,ran,ready,hold,10,435,12
RADAR-NEXT20-008,Peter Zimmerman Architects,Service area,architect,peter-zimmerman-architects,,,https://pzarchitects.com/,PASS,ran,ready,hold,10,421,12
RADAR-NEXT20-010,Street Stores Hardware Store,Service area,hardware,street-stores-hardware-store,,,https://www.streetstoreshardware.com/,PASS,ran,ready,hold,10,445,12
RADAR-NEXT20-018,Wesley Works Real Estate,Service area,estate-agent,wesley-works-real-estate,,,https://wesleyworksrealestate.com/,PASS,ran,ready,hold,10,419,13
RADAR-NEXT20-004,Wilkie Lexus,Service area,car,wilkie-lexus,,,https://www.wilkielexus.com/,PASS,ran,ready,hold,10,433,12
