prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
RADAR-NEXT20-011,Aqua Docs,,717-733-7667,Service area,swimming-pool,,ready,hold,,,,,
RADAR-NEXT20-012,Bala Financial Group,,(610) 940-1000,valuedclient@balafinancial.com,financial,,ready,hold,,,,,
RADAR-NEXT20-017,Bath & Kitchen Showroom of Hajoca-York,,,Service area,hardware,,ready,hold,,,,,
RADAR-NEXT20-013,Bob Swayne Real Estate,,717-587-2218,Service area,estate-agent,,ready,hold,,,,,
RADAR-NEXT20-014,Eckroth Equipment Company,,(800) 237-4592,Service area,trade,,ready,hold,,,,,
RADAR-NEXT20-019,Frees Insurance,"120 Gay Street, Phoenixville, PA 19460",+1 610-933-4950,Phoenixville,insurance,,ready,hold,,,,,
RADAR-NEXT20-003,Kevin T Coyne Attorney At Law,,,Service area,lawyer,,ready,hold,,,,,
RADAR-NEXT20-015,Kitay Law Offices,,+18885482952,Service area,lawyer,,ready,hold,,,,,
RADAR-NEXT20-006,Lancaster General Health Express,,,Service area,clinic,,ready,hold,,,,,
RADAR-NEXT20-001,Leiss Orthodontics,"201 Darby Square, Elverson, PA 19520",610-363-2900,Elverson,dentist,,ready,hold,,,,,
RADAR-NEXT20-005,LG Health Physicians Family Medicine Abbeyville,,,Service area,clinic,,ready,hold,,,,,
RADAR-NEXT20-016,"Money Management Advisory, Inc.","102 West Street Road, Feasterville, PA 19053",215-322-7670,Feasterville,financial,,ready,hold,,,,,
RADAR-NEXT20-007,MRI Group,,,Service area,clinic,,ready,hold,,,,,
RADAR-NEXT20-009,Neiderer's Pool Sales & Service,,,Service area,swimming-pool,,ready,hold,,,,,
RADAR-NEXT20-020,Pacifico Marple Lincoln,,,Service area,car,,ready,hold,,,,,
RADAR-NEXT20-002,Peachtree City Foamcraft,,,Service area,trade,,ready,hold,,,,,
RADAR-NEXT20-008,Peter Zimmerman Architects,,(610) 647-6970,Service area,architect,,ready,hold,,,,,
RADAR-NEXT20-010,Street Stores Hardware Store,,,Service area,hardware,,ready,hold,,,,,
RADAR-NEXT20-018,Wesley Works Real Estate,,610.928.1000,Service area,estate-agent,,ready,hold,,,,,
RADAR-NEXT20-004,Wilkie Lexus,,,Service area,car,,ready,hold,,,,,
