status,target,align_match,position,volume,kd,bucket,url,priority
page1,accenture dayforce implementation partner,accenture dayforce implementation partner,7,480,13,platform_services,https://www.alignhcm.com/dayforce-implementation,improve_to_top3
striking,hcm services,hcm services,15,480,,hcm_services,https://www.alignhcm.com/,improve_to_top3
page2_plus,cloud based hcm solutions,best cloud-based hcm solutions for payroll,93,1300,50,info,https://www.alignhcm.com/,improve_to_top3
page2_plus,ukg consulting services,best ukg consulting services,50,140,12,platform_services,https://www.alignhcm.com/partners/ukg,improve_to_top3
page1,hcm ukg,hcm ukg,3,140,,platform_services,https://www.alignhcm.com/,protect
page1,ukg pro implementation partner,ukg pro implementation partner,4,90,11,platform_services,https://www.alignhcm.com/partners/ukg,improve_to_top3
page1,hr data integration services,hr data integration services,5,110,,hcm_services,https://www.alignhcm.com/services/integration,improve_to_top3
page2_plus,affordable but reliable dayforce implementation consultants for small businesses,affordable but reliable dayforce implementation consultants for small businesses,41,70,0,platform_services,https://www.alignhcm.com/dayforce-implementation,improve_to_top3
page1,ukg implementation partner,ukg implementation partner,2,70,13,platform_services,https://www.alignhcm.com/partners/ukg,protect
page2_plus,ukg certifications,ukg certifications,39,90,,platform_services,https://www.alignhcm.com/services/training,improve_to_top3
page1,common challenges with hcm implementation,common challenges with hcm implementation,2,90,,hcm_services,https://www.alignhcm.com/blog/the-most-common-challenges-with-hcm-implementations,protect
striking,hr data integration,hr data integration,17,90,,hcm_services,https://www.alignhcm.com/services/integration,improve_to_top3
page1,paylocity vs paychex,paylocity vs paychex,7,110,,compare,https://www.alignhcm.com/blog/paylocity-vs-paycheck-best-platform,improve_to_top3
page1,accenture dayforce implementation,accenture dayforce implementation partner,7,50,7,platform_services,https://www.alignhcm.com/dayforce-implementation,improve_to_top3
page1,ukg pro implementation,ukg pro implementation partner,4,50,5,platform_services,https://www.alignhcm.com/partners/ukg,improve_to_top3
page1,paychex vs paylocity,paychex vs paylocity,4,90,,compare,https://www.alignhcm.com/blog/paylocity-vs-paycheck-best-platform,improve_to_top3
page1,common challenges in hcm implementation,common challenges in hcm implementation,1,50,,hcm_services,https://www.alignhcm.com/blog/the-most-common-challenges-with-hcm-implementations,protect
page1,data conversion checklist,data conversion checklist,5,50,,hcm_services,https://www.alignhcm.com/blog/data-conversion-checklist-what-to-prepare-before-migration,improve_to_top3
page2_plus,ukg pro hcm,ukg pro hcm,23,40,,platform_services,https://www.alignhcm.com/partners/ukg,improve_to_top3
page1,ai integration with hcm systems,ai integration with hcm systems,7,40,,hcm_services,https://www.alignhcm.com/blog/ai-integration-with-hcm-systems,improve_to_top3
page1,support for your hcm,support for your hcm,4,40,,hcm_services,https://www.alignhcm.com/services/support,improve_to_top3
missing,human capital management software,,,6600,33,info,,P1
missing,construction payroll services,,,1600,,industry,,P1
missing,construction payroll software,,,1000,,industry,,P1
missing,what is human capital management,,,4400,46,info,,P1
missing,ceridian dayforce partner accenture,,,390,15,platform_services,,P1
missing,manufacturing payroll software,,,390,20,industry,,P1
