date,gsc_clicks,gsc_impressions,ga4_sessions_all,ga4_sessions_organic,status
2026-01-01,,,19,11,ga4_only
2026-01-02,,,34,12,ga4_only
2026-01-03,,,11,7,ga4_only
2026-01-04,,,25,8,ga4_only
2026-01-05,,,37,12,ga4_only
2026-01-06,,,5,2,ga4_only
2026-01-07,,,2,1,ga4_only
2026-01-08,,,3,1,ga4_only
2026-01-09,,,1,1,ga4_only
2026-01-10,,,,,both_missing
2026-01-11,,,,,both_missing
2026-01-12,,,2,1,ga4_only
2026-01-13,,,1,,ga4_only
2026-01-14,,,,,both_missing
2026-01-15,,,1,1,ga4_only
2026-01-16,,,2,1,ga4_only
2026-01-17,,,,,both_missing
2026-01-18,,,,,both_missing
2026-01-19,,,2,1,ga4_only
2026-01-20,,,1,,ga4_only
2026-01-21,,,,,both_missing
2026-01-22,,,,,both_missing
2026-01-23,,,,,both_missing
2026-01-24,,,,,both_missing
2026-01-25,,,,,both_missing
2026-01-26,,,,,both_missing
2026-01-27,,,,,both_missing
2026-01-28,,,,,both_missing
2026-01-29,,,,,both_missing
2026-01-30,,,,,both_missing
2026-01-31,,,,,both_missing
2026-02-01,,,,,both_missing
2026-02-02,,,,,both_missing
2026-02-03,,,,,both_missing
2026-02-04,,,,,both_missing
2026-02-05,,,,,both_missing
2026-02-06,,,,,both_missing
2026-02-07,,,,,both_missing
2026-02-08,,,,,both_missing
2026-02-09,,,,,both_missing
2026-02-10,,,,,both_missing
2026-02-11,,,,,both_missing
2026-02-12,,,,,both_missing
2026-02-13,,,,,both_missing
2026-02-14,,,,,both_missing
2026-02-15,,,,,both_missing
2026-02-16,,,,,both_missing
2026-02-17,,,,,both_missing
2026-02-18,,,,,both_missing
2026-02-19,,,,,both_missing
2026-02-20,,,,,both_missing
2026-02-21,,,,,both_missing
2026-02-22,,,,,both_missing
2026-02-23,,,1,,ga4_only
2026-02-24,,,,,both_missing
2026-02-25,,,,,both_missing
2026-02-26,,,,,both_missing
2026-02-27,,,,,both_missing
2026-02-28,,,,,both_missing
2026-03-01,,,,,both_missing
2026-03-02,,,,,both_missing
2026-03-03,,,,,both_missing
2026-03-04,,,,,both_missing
2026-03-05,,,,,both_missing
2026-03-06,,,,,both_missing
2026-03-07,,,,,both_missing
2026-03-08,,,,,both_missing
2026-03-09,,,,,both_missing
2026-03-10,,,,,both_missing
2026-03-11,,,,,both_missing
2026-03-12,,,,,both_missing
2026-03-13,,,,,both_missing
2026-03-14,,,,,both_missing
2026-03-15,,,,,both_missing
2026-03-16,,,,,both_missing
2026-03-17,,,,,both_missing
2026-03-18,,,,,both_missing
2026-03-19,,,,,both_missing
2026-03-20,,,,,both_missing
2026-03-21,,,,,both_missing
2026-03-22,,,,,both_missing
2026-03-23,,,,,both_missing
2026-03-24,,,,,both_missing
2026-03-25,,,,,both_missing
2026-03-26,,,,,both_missing
2026-03-27,,,,,both_missing
2026-03-28,,,,,both_missing
2026-03-29,,,,,both_missing
2026-03-30,,,,,both_missing
2026-03-31,,,,,both_missing
2026-04-01,,,,,both_missing
2026-04-02,,,,,both_missing
2026-04-03,,,,,both_missing
2026-04-04,,,,,both_missing
2026-04-05,,,,,both_missing
2026-04-06,,,,,both_missing
2026-04-07,,,,,both_missing
2026-04-08,,,,,both_missing
2026-04-09,,,,,both_missing
2026-04-10,,,,,both_missing
2026-04-11,,,,,both_missing
2026-04-12,,,,,both_missing
2026-04-13,,,,,both_missing
2026-04-14,,,,,both_missing
2026-04-15,,,,,both_missing
2026-04-16,,,,,both_missing
2026-04-17,,,,,both_missing
2026-04-18,,,,,both_missing
2026-04-19,,,,,both_missing
2026-04-20,,,,,both_missing
2026-04-21,,,,,both_missing
2026-04-22,,,,,both_missing
2026-04-23,,,,,both_missing
2026-04-24,,,,,both_missing
2026-04-25,,,,,both_missing
2026-04-26,,,,,both_missing
2026-04-27,,,,,both_missing
2026-04-28,,,,,both_missing
2026-04-29,,,,,both_missing
2026-04-30,,,,,both_missing
2026-05-01,,,,,both_missing
2026-05-02,,,,,both_missing
2026-05-03,,,,,both_missing
2026-05-04,,,,,both_missing
2026-05-05,,,,,both_missing
2026-05-06,,,,,both_missing
2026-05-07,,,,,both_missing
2026-05-08,,,,,both_missing
2026-05-09,,,,,both_missing
2026-05-10,,,,,both_missing
2026-05-11,,,,,both_missing
2026-05-12,,,,,both_missing
2026-05-13,,,,,both_missing
2026-05-14,,,,,both_missing
2026-05-15,,,,,both_missing
2026-05-16,,,,,both_missing
2026-05-17,,,,,both_missing
2026-05-18,,,,,both_missing
2026-05-19,,,,,both_missing
2026-05-20,,,,,both_missing
2026-05-21,,,,,both_missing
2026-05-22,,,,,both_missing
2026-05-23,,,,,both_missing
2026-05-24,,,,,both_missing
2026-05-25,,,,,both_missing
2026-05-26,,,,,both_missing
2026-05-27,,,,,both_missing
2026-05-28,,,,,both_missing
2026-05-29,,,,,both_missing
2026-05-30,,,,,both_missing
2026-05-31,,,,,both_missing
2026-06-01,,,,,both_missing
2026-06-02,,,,,both_missing
2026-06-03,,,,,both_missing
2026-06-04,,,,,both_missing
2026-06-05,,,,,both_missing
2026-06-06,,,,,both_missing
2026-06-07,,,,,both_missing
2026-06-08,,,,,both_missing
2026-06-09,,,,,both_missing
2026-06-10,,,,,both_missing
2026-06-11,,,,,both_missing
2026-06-12,,,,,both_missing
2026-06-13,,,,,both_missing
2026-06-14,,,,,both_missing
2026-06-15,,,,,both_missing
2026-06-16,,,,,both_missing
2026-06-17,,,,,both_missing
2026-06-18,,,,,both_missing
2026-06-19,,,,,both_missing
2026-06-20,,,,,both_missing
2026-06-21,,,,,both_missing
2026-06-22,,,1,,ga4_only
2026-06-23,,,,,both_missing
2026-06-24,,,,,both_missing
2026-06-25,,,,,both_missing
2026-06-26,,,,,both_missing
2026-06-27,,,,,both_missing
2026-06-28,,,,,both_missing
2026-06-29,,,,,both_missing
2026-06-30,,,,,both_missing
2026-07-01,,,,,both_missing
2026-07-02,,,,,both_missing
2026-07-03,,,,,both_missing
2026-07-04,,,,,both_missing
2026-07-05,,,,,both_missing
2026-07-06,,,,,both_missing
2026-07-07,,,,,both_missing
2026-07-08,,,,,both_missing
2026-07-09,,,,,both_missing
2026-07-10,,,,,both_missing
2026-07-11,,,,,both_missing
2026-07-12,,,,,both_missing
2026-07-13,,,,,both_missing
2026-07-14,,,,,both_missing
2026-07-15,,,,,both_missing
2026-07-16,,,,,both_missing
2026-07-17,,,,,both_missing
2026-07-18,,,,,both_missing
2026-07-19,,,,,both_missing
2026-07-20,,,,,both_missing
2026-07-21,,,,,both_missing
2026-07-22,,,,,both_missing
2026-07-23,,,,,both_missing
2026-07-24,,,,,both_missing
2026-07-25,,,,,both_missing
2026-07-26,,,,,both_missing
2026-07-27,19,2134,,,gsc_only
2026-07-28,24,2182,,,gsc_only
2026-07-29,22,2052,,,gsc_only
2026-07-30,14,2301,13,2,ok
2026-07-31,10,2158,22,10,ok
2026-08-01,3,1693,4,1,ok
2026-08-02,4,1742,7,3,ok
2026-08-03,17,1722,23,4,ok
2026-08-04,23,2174,26,13,ok
2026-08-05,15,2476,20,7,ok
2026-08-06,14,2252,16,5,ok
2026-08-07,14,1987,24,13,ok
2026-08-08,2,1676,3,,ok
2026-08-09,7,1708,10,2,ok
2026-08-10,18,2384,20,11,ok
2026-08-11,21,2683,36,14,ok
2026-08-12,22,2443,19,10,ok
2026-08-13,14,2118,15,8,ok
2026-08-14,12,1843,10,4,ok
2026-08-15,4,1451,,,gsc_only
2026-08-16,3,1966,8,,ok
2026-08-17,17,2373,28,8,ok
2026-08-18,14,2153,43,18,ok
2026-08-19,14,2037,22,13,ok
2026-08-20,11,1989,17,8,ok
2026-08-21,12,1783,12,6,ok
2026-08-22,5,1326,4,1,ok
2026-08-23,12,1541,13,7,ok
2026-08-24,12,2000,21,6,ok
2026-08-25,10,2459,21,9,ok
2026-08-26,9,2417,14,7,ok
2026-08-27,17,3333,19,7,ok
2026-08-28,7,1687,11,1,ok
2026-08-29,2,1514,4,2,ok
2026-08-30,3,1989,2,1,ok
2026-08-31,9,1781,18,7,ok
2026-09-01,16,1849,17,9,ok
2026-09-02,21,1999,20,13,ok
2026-09-03,19,1961,20,11,ok
2026-09-04,6,1783,8,4,ok
2026-09-05,1,1347,,,gsc_only
2026-09-06,2,1465,1,,ok
2026-09-07,4,1593,7,4,ok
2026-09-08,15,2036,17,9,ok
2026-09-09,15,1865,18,11,ok
2026-09-10,10,1925,10,5,ok
2026-09-11,7,1622,7,1,ok
