priority_score,business_name,website,vertical,city,area,has_phone,site_quality,band,verdict,trend,last_graded,next_recheck,worst_fault
94,Germantown Dental Group,http://germantowndental.us/,dentist,Philadelphia,Philadelphia,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
86,Udis & Conn Orthodontics,http://www.udisandconnorthodontics.com/,dentist,Jenkintown,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
82,"Jarman Sales & Service, Inc",http://jarmanairconditioning.com/,hvac,Philadelphia,Philadelphia,true,20,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
82,Lee's Hoagie House,http://www.leeshoagieshorsham.com/,restaurant,,Montgomery County,false,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
78,Andorra Family Dentistry,https://www.andorradental.com/,dentist,Philadelphia,Philadelphia,true,26,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
78,Dutton Road Veterinary Clinic,http://duttonroadvetclinic.com/,veterinary,Philadelphia,Philadelphia,true,25,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
78,P & C Insurance Agency LLC,http://www.pandcinsuranceagency.com/,insurance,Aldan,Delaware County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
78,Anthony Gueriera Jr. Insurance Agency LLC,http://broomallinsuranceagency.com/,insurance,Broomall,Delaware County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
78,"Big Head Transport, LLC",http://bigheadtransportllc.com/,tyres,Philadelphia,Philadelphia,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
78,Kehan's Auto Service,http://kehansautoservice.com/,car-repair,Philadelphia,Philadelphia,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
78,Elite Auto Parts,http://cecarparts.com/,car-parts,Philadelphia,Philadelphia,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
