id,name,slug,issue,drop
1,Agnes Edmunds Bridal & Formals,agnes-edmunds-bridal-formals,placeholder,0
2,Al Tacos Locos,al-tacos-locos,placeholder,0
3,Apollo Wealth Advisors,lpl-financial,placeholder,0
4,APR Supply Company,apr-supply-company,placeholder,0
5,Borsello Landscaping,borsello-landscaping,placeholder,0
6,Boyle Energy,boyle-energy-heating-air-conditioning-oil-propane,placeholder,0
7,Brandywine Auto Parts,brandywine-auto-parts,placeholder,0
8,Captain Car Wash,captain-car-wash,placeholder,0
9,City Electric Supply West Chester,city-electric-supply,placeholder,0
10,Custom IT Solutions,custom-it-solutions,placeholder,0
11,Ember & Ale,ember-ale,placeholder,0
12,EPAM Philadelphia,epam,placeholder,0
13,Euphoria Nail Bar,euphoria-nail-bar,placeholder,0
14,Ferrari Philadelphia,ferrari-philadelphia,placeholder,0
15,Field 1 Post LLC,field-1-post-llc,placeholder,0
16,Francis Kaufman House,francis-kaufman-house,placeholder,0
17,Heart & Soul Tattoo,heart-soul-tattoo,placeholder,0
18,Highline Motors Aston,highline-motors,placeholder,0
19,Holiday Hair Quakertown,holiday-hair,placeholder,0
20,IVC Wealth Advisors,ivc-wealth-advisors,placeholder,0
21,J-Pro Pools Inc,j-pro-inc,placeholder,0
22,Johnny Destructo's Hero Complex,hero-complex,placeholder,0
23,Johnny's Pizza,johnny-s-pizza,dup,1
24,Just Tires Media,just-tires,placeholder,0
25,Kinetic Physical Therapy,kinetic-physical-therapy,placeholder,0
26,Manatawny Still Works,manatawny-still-works,placeholder,0
27,Ming's Chinese Restaurant,ming-s-chinese,placeholder,0
28,Narberth Pizza and Steaks,narberth-pizza,placeholder,0
29,NovaCare Rehabilitation Conshohocken,novacare,placeholder,0
30,"O'Donnell, Weiss & Mattei P.C.",o-donnell-weiss-mattei-p-c,placeholder,0
31,Ooka Hibachi and Sushi,ooka-hibachi-and-sushi,placeholder,0
32,Orthodontic Associates of Collegeville,dr-weiss-s-office,placeholder,0
33,Philadelphia Auto Accident Injury Attorney,philadelphia-auto-accident-injury-attorney,placeholder,0
34,Rally House Collegeville,rally-house-collegeville,placeholder,0
35,Red Hill Greenhouses & Florist,red-hill-greenhouses-florist,placeholder,0
36,Rocco's Brick Oven Pizzeria,rocco-s-brick-oven-pizzeria,placeholder,0
37,Seiler & Drury,seiler-drury,placeholder,0
38,Snyder Online Marketing,snyder-online-marketing,placeholder,0
39,The Edge Fitness Clubs Media,the-edge-fitness-clubs,placeholder,0
